set,cohort_year,collection_key,collection_name,membership_evidence,sample_start_date,sample_end_date,sample_year_start,sample_year_end,sample_weeks,unique_btiha,cumulative_unique_downloaders,downloaders_per_unique_btiha,cumulative_unique_uploaders,uploaders_per_unique_btiha,source_repository,source_revision,weekly_source,cumulative_source
netflix,2023,blue-eye-samurai-01,Blue Eye Samurai,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2023-11-04,2024-01-12,2023,2024,10,132,4800356,36366.333333,793179,6008.931818,alpha60-devops/alpha60-results-2023,14ef04ef54c4fbcf1b479a949c432c0d42fdf43a,data/json/blue-eye-samurai-01-week.json,data/json/blue-eye-samurai-01-cumulative.json
netflix,2024,arcane-02.1,Arcane,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2024-11-09,2025-05-09,2024,2025,26,289,42209243,146052.743945,2934975,10155.622837,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/arcane-02.1-week.json,data/json/arcane-02.1-cumulative.json
netflix,2024,arcane-02.2,Arcane,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2024-11-16,2025-05-16,2024,2025,26,302,44256982,146546.298013,2311459,7653.837748,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/arcane-02.2-week.json,data/json/arcane-02.2-cumulative.json
netflix,2024,arcane-02.3,Arcane,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2024-11-23,2025-05-23,2024,2025,26,380,59203425,155798.486842,3681556,9688.305263,alpha60-devops/alpha60-results-2024,81f1b52151bcec5086af3a1ffb95e57903703d6d,data/json/arcane-02.3-week.json,data/json/arcane-02.3-cumulative.json
netflix,2025,long-story-short-01,The Long Story Short,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2025-08-22,2026-02-19,2025,2026,26,155,16076689,103720.574194,260820,1682.709677,alpha60-devops/alpha60-results-2025,8931c562df38b3d177a085e033b529ecd9176683,data/json/long-story-short-01-week.json,data/json/long-story-short-01-cumulative.json
netflix,2025,love-death-robots-04,"Love, Death & Robots","branch:netflix-direct; distribution_tags intersects [""netflix""]",2025-05-15,2025-08-27,2025,2025,15,253,21970042,86838.110672,2120191,8380.201581,alpha60-devops/alpha60-results-2025,8931c562df38b3d177a085e033b529ecd9176683,data/json/love-death-robots-04-week.json,data/json/love-death-robots-04-cumulative.json
netflix,2026,dang-01,DANG!,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2026-09-09,2026-09-11,2026,2026,1,162,224051,1383.030864,9488,58.567901,alpha60-devops/alpha60-results-2026,5fcf46d0d700896f995942f8df6ec0838b2ca51d,data/json/dang-01-week.json,data/json/dang-01-cumulative.json
netflix,2026,dinosaurs-01,The Dinosaurs,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2026-03-06,2026-06-25,2026,2026,16,164,17733860,108133.292683,574687,3504.189024,alpha60-devops/alpha60-results-2026,5fcf46d0d700896f995942f8df6ec0838b2ca51d,data/json/dinosaurs-01-week.json,data/json/dinosaurs-01-cumulative.json
netflix,2026,mating-season-01,Mating Season,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2026-05-23,2026-09-11,2026,2026,16,226,19212570,85011.371681,250640,1109.026549,alpha60-devops/alpha60-results-2026,5fcf46d0d700896f995942f8df6ec0838b2ca51d,data/json/mating-season-01-week.json,data/json/mating-season-01-cumulative.json
netflix,2026,stranger-things-tales-from-85-01,Stranger Things Tales from 85,"branch:netflix-direct; distribution_tags intersects [""netflix""]",2026-04-23,2026-08-26,2026,2026,18,409,38450627,94011.312958,588168,1438.063570,alpha60-devops/alpha60-results-2026,5fcf46d0d700896f995942f8df6ec0838b2ca51d,data/json/stranger-things-tales-from-85-01-week.json,data/json/stranger-things-tales-from-85-01-cumulative.json
