cohort_year,collection_key,reason
2022,andor-112,outside-animation-universe
2022,andy-warhol-diaries-01,outside-animation-universe
2022,archer-1308,category-predicate-not-matched
2022,atlanta-301,outside-animation-universe
2022,atlanta-310,outside-animation-universe
2022,atlanta-410,outside-animation-universe
2022,book-of-boba-fett-107,outside-animation-universe
2022,boys-301,outside-animation-universe
2022,boys-308,outside-animation-universe
2022,boys-presents-diabolical-01,category-predicate-not-matched
2022,bridgerton-02,outside-animation-universe
2022,enola-holmes-2,outside-animation-universe
2022,eternals,outside-animation-universe
2022,euphoria-208,outside-animation-universe
2022,everything-everywhere-all-at-once,outside-animation-universe
2022,expanse-606,outside-animation-universe
2022,fistful-of-vengeance,outside-animation-universe
2022,flight-attendant-201,outside-animation-universe
2022,for-all-mankind-301,outside-animation-universe
2022,glass-onion,outside-animation-universe
2022,gray-man,outside-animation-universe
2022,harley-quinn-301,category-predicate-not-matched
2022,house-of-the-dragon-101,outside-animation-universe
2022,house-of-the-dragon-103,outside-animation-universe
2022,house-of-the-dragon-110,outside-animation-universe
2022,inventing-anna-01,outside-animation-universe
2022,jeen-yuhs-01,outside-animation-universe
2022,kimi,outside-animation-universe
2022,kindred-01,outside-animation-universe
2022,marvelous-mrs-maisel-407,outside-animation-universe
2022,obi-wan-kenobi-101,outside-animation-universe
2022,obi-wan-kenobi-106,outside-animation-universe
2022,old-man-107,outside-animation-universe
2022,only-murders-in-the-building-201,outside-animation-universe
2022,only-murders-in-the-building-210,outside-animation-universe
2022,pantheon-108,category-predicate-not-matched
2022,paper-girls-01,outside-animation-universe
2022,peripheral-101,outside-animation-universe
2022,peripheral-108,outside-animation-universe
2022,prehistoric-planet-01,category-predicate-not-matched
2022,prey,outside-animation-universe
2022,raised-by-wolves-201,outside-animation-universe
2022,raised-by-wolves-208,outside-animation-universe
2022,renaissance,outside-animation-universe
2022,reservation-dogs-201,outside-animation-universe
2022,rings-of-power-101,outside-animation-universe
2022,rings-of-power-108,outside-animation-universe
2022,roar-01,outside-animation-universe
2022,russian-doll-02,outside-animation-universe
2022,sandman-01,outside-animation-universe
2022,spider-man-no-way-home,outside-animation-universe
2022,station-eleven-110,outside-animation-universe
2022,stranger-things-04.1,outside-animation-universe
2022,stranger-things-04.2,outside-animation-universe
2022,tales-of-the-jedi-01,category-predicate-not-matched
2022,tokyo-vice-01,outside-animation-universe
2022,undone-02,category-predicate-not-matched
2022,walking-dead-1124,outside-animation-universe
2022,wednesday-01,outside-animation-universe
2022,westworld-401,outside-animation-universe
2022,westworld-408,outside-animation-universe
2022,witcher-blood-origin-01,outside-animation-universe
2022,yellowjackets-110,outside-animation-universe
2022,yellowstone-505,outside-animation-universe
2023,ahsoka-101,outside-animation-universe
2023,ahsoka-108,outside-animation-universe
2023,american-born-chinese-01,outside-animation-universe
2023,and-just-like-that-201,outside-animation-universe
2023,and-just-like-that-211,outside-animation-universe
2023,archer-1401,category-predicate-not-matched
2023,archer-1408,outside-animation-universe
